name,department,salary,join_year,rating
Employee_1,Engineering,117866,2018,3.8
Employee_2,Marketing,100545,2024,3.2
Employee_3,Engineering,112146,2025,3.9
Employee_4,HR,111966,2020,4.2
Employee_5,Engineering,79922,2022,4.7
Employee_6,HR,119364,2018,4.1
Employee_7,HR,82913,2024,4.4
Employee_8,Sales,95677,2022,2.9
Employee_9,Finance,89841,2025,3.7
Employee_10,HR,86332,2025,2.5
Employee_11,Sales,65032,2026,3.1
Employee_12,Finance,77846,2024,4.3
Employee_13,HR,99474,2018,5.0
Employee_14,HR,84936,2020,2.7
Employee_15,Engineering,69794,2025,3.5
Employee_16,Engineering,101588,2020,4.5
Employee_17,Finance,110984,2025,3.0
Employee_18,HR,90331,2018,3.9
Employee_19,Marketing,68141,2022,4.3
Employee_20,Engineering,49074,2021,4.0
Employee_21,Finance,46406,2022,3.0
Employee_22,HR,63291,2025,3.4
Employee_23,HR,81568,2021,4.5
Employee_24,Marketing,86851,2021,3.9
Employee_25,Finance,94823,2020,2.5
Employee_26,HR,63312,2024,4.4
Employee_27,Engineering,83108,2020,2.6
Employee_28,Marketing,106918,2020,4.4
Employee_29,Finance,74171,2022,3.0
Employee_30,Marketing,81779,2022,4.9
Employee_31,Engineering,108828,2023,3.4
Employee_32,Finance,52411,2025,3.3
Employee_33,Marketing,97009,2023,2.9
Employee_34,Sales,55422,2018,3.3
Employee_35,Engineering,82468,2025,4.7
Employee_36,Engineering,72371,2025,5.0
Employee_37,Engineering,97022,2026,3.4
Employee_38,Sales,111229,2026,3.6
Employee_39,Sales,91196,2019,4.3
Employee_40,HR,66715,2019,4.7
Employee_41,Marketing,67605,2020,4.0
Employee_42,HR,71174,2018,3.5
Employee_43,Marketing,49956,2021,3.5
Employee_44,Sales,116373,2021,4.2
Employee_45,Sales,109252,2026,2.5
Employee_46,HR,101949,2026,4.0
Employee_47,Finance,102646,2026,3.4
Employee_48,HR,110017,2024,4.5
Employee_49,Marketing,103037,2019,2.7
Employee_50,HR,46548,2022,4.0
Employee_51,Engineering,113294,2021,3.7
Employee_52,Marketing,63177,2025,4.1
Employee_53,Marketing,64022,2019,2.7
Employee_54,Finance,45542,2023,3.9
Employee_55,Sales,100428,2022,3.9
Employee_56,Marketing,62740,2019,3.9
Employee_57,Sales,99353,2018,4.0
Employee_58,HR,96532,2025,4.2
Employee_59,Engineering,56052,2019,4.5
Employee_60,Finance,87076,2024,3.2
Employee_61,Sales,93420,2026,4.6
Employee_62,Marketing,40671,2026,3.7
Employee_63,Sales,40163,2025,2.7
Employee_64,Marketing,81424,2026,2.6
Employee_65,Sales,93744,2019,3.3
Employee_66,Marketing,110331,2023,4.5
Employee_67,HR,50634,2021,4.3
Employee_68,Marketing,44798,2021,4.5
Employee_69,Marketing,62420,2022,3.8
Employee_70,Engineering,69300,2020,3.6
Employee_71,Marketing,50749,2018,2.9
Employee_72,Engineering,65121,2025,3.3
Employee_73,Finance,77487,2022,3.6
Employee_74,Engineering,73361,2020,2.7
Employee_75,HR,61223,2024,3.1
Employee_76,Engineering,112930,2024,4.0
Employee_77,Finance,54056,2018,4.3
Employee_78,HR,68380,2026,5.0
Employee_79,Sales,66035,2019,4.8
Employee_80,Sales,70620,2022,4.1
Employee_81,Engineering,59877,2022,3.6
Employee_82,Engineering,95316,2025,4.1
Employee_83,Finance,104041,2025,4.5
Employee_84,Finance,93352,2024,2.8
Employee_85,Marketing,70911,2024,3.5
Employee_86,Finance,72784,2023,4.6
Employee_87,Marketing,43191,2023,3.5
Employee_88,HR,73160,2026,3.9
Employee_89,Engineering,104641,2023,4.0
Employee_90,HR,89723,2019,3.0
Employee_91,Finance,43631,2019,3.4
Employee_92,HR,46172,2022,3.3
Employee_93,HR,82080,2021,2.6
Employee_94,HR,60281,2019,2.6
Employee_95,Finance,68671,2020,4.6
Employee_96,HR,91431,2024,3.2
Employee_97,Marketing,68602,2025,3.8
Employee_98,Finance,91399,2023,3.2
Employee_99,HR,63472,2022,4.9
Employee_100,Finance,89230,2018,3.1
